markerIndex p.value p.value.NA Is.converge varT varTstar N AC AF
2551 0.355930664736228 0.355930664736228 1 0.0707682272693833 0.0751090543225425 1000 55 0.0275
677 0.152937423332392 0.152937423332392 1 0.0470217518826917 0.0498688267624293 1000 770 0.385
7776 0.850040801565226 0.850040801565226 1 0.0415378330698006 0.0442962656839536 1000 919 0.4595
4664 0.961326440406876 0.961326440406876 1 0.0620093199832962 0.0650576220047097 1000 27 0.0135
499 0.211708956793201 0.211708956793201 1 0.0642399570896642 0.0679443702989829 1000 286 0.143
7933 0.201313097659953 0.201313097659953 1 0.0789787049375213 0.0842943118732794 1000 27 0.0135
4879 0.0474817800397721 0.0474817800397721 1 0.073826111659281 0.0785342388782758 1000 83 0.0415
7063 0.824954084638051 0.824954084638051 1 0.0722924323289983 0.0767626056734429 1000 92 0.046
6667 0.886319312242909 0.886319312242909 1 0.0902495000742098 0.0969019437936289 1000 35 0.0175
4906 0.439207499579559 0.439207499579559 1 0.0671501169518738 0.0707563351252988 1000 34 0.017
615 0.851296690799462 0.851296690799462 1 0.045113639289327 0.0481376884558565 1000 833 0.4165
5737 0.576901862780912 0.576901862780912 1 0.0645487629456959 0.0682584422395288 1000 49 0.0245
5800 0.410922045476978 0.410922045476978 1 0.0513587010440507 0.0543708106527599 1000 639 0.3195
4712 0.0416341797141549 0.0447679505361987 1 0.0898582626003814 0.0959670283004639 1000 38 0.019
3915 0.415347690162533 0.415347690162533 1 0.0438163410057725 0.0464956610524331 1000 842 0.421
9233 0.732266462854633 0.732266462854633 1 0.0878229436377779 0.0946278695986826 1000 30 0.015
148 0.385120375722329 0.385120375722329 1 0.0749856844064838 0.0794480887232905 1000 36 0.018
8800 0.192796005855753 0.192796005855753 1 0.0504343198194829 0.0536650773132091 1000 689 0.3445
3066 0.190183545775869 0.190183545775869 1 0.0688907797976299 0.0740037467732389 1000 42 0.021
5810 0.287225564603315 0.287225564603315 1 0.0666467981477905 0.0705966073262801 1000 73 0.0365
1326 0.0839314560946405 0.0839314560946405 1 0.0702551371064989 0.0742863850029875 1000 47 0.0235
1955 0.839424738547049 0.839424738547049 1 0.0696997292920191 0.0733758440509938 1000 31 0.0155
4572 0.328003702647415 0.328003702647415 1 0.0718037459938783 0.076554857033527 1000 146 0.073
6184 0.376257659151685 0.376257659151685 1 0.0743003478238897 0.0789150522668542 1000 238 0.119
3112 0.950364215683526 0.950364215683526 1 0.0653959000463959 0.068795493329 1000 75 0.0375
7042 0.138489808667977 0.138489808667977 1 0.0643638446484821 0.0673705912933759 1000 23 0.0115
4660 0.82568874681915 0.82568874681915 1 0.0557143905128064 0.0592419763857702 1000 528 0.264
2883 0.391812614125176 0.391812614125176 1 0.0643518807341845 0.0679120897417308 1000 99 0.0495
1593 0.140747758470255 0.140747758470255 1 0.0769403249295509 0.0821451361775312 1000 80 0.04
2923 0.611551506105617 0.611551506105617 1 0.0887995934107817 0.0956958665918184 1000 85 0.0425
