CHR POS SNPID Allele1 Allele2 AC_Allele2 AF_Allele2 N BETA SE Tstat p.value p.value.NA Is.SPA.converge varT varTstar AF.Cases AF.Controls
1 4 rs4 1 2 20 0.00999999977648258 1000 -0.0749378396624615 0.788770746047398 -0.120447996017421 0.924310175803037 0.924310175803037 1 1.6073054221999 1.70704444428621 0.0102040816326531 0.00997782705099778
1 9 rs9 1 2 4 0.0020000000949949 1000 -1.36981870649755 1.55174164563677 -0.568884709514712 0.377364824253726 0.377364824253726 1 0.41529927049199 0.441070068337825 0 0.00221729490022173
1 10 rs10 1 2 4 0.0020000000949949 1000 0.65527152773792 1.46968835010988 0.303368716768543 0.655700206197061 0.655700206197061 1 0.462966425255511 0.49169513970891 0.00510204081632653 0.0016629711751663
1 11 rs11 1 2 2 0.00100000004749745 1000 -1.10708047981772 3.52978446055731 -0.0888551940382086 0.75379471641779 0.75379471641779 1 0.0802608262525219 0.0852412961816964 0 0.00110864745011086
1 12 rs12 1 2 30 0.0149999996647239 1000 -0.0896915103506985 0.655030306859536 -0.209039591799427 0.891088285116208 0.891088285116208 1 2.33065081613712 2.47527599441097 0.0153061224489796 0.0149667405764967
1 14 rs14 1 2 75 0.0375000014901161 1000 -0.0747105722701199 0.432584274259 -0.399246031625296 0.862881305129122 0.862881305129122 1 5.34390273684161 5.67551092140645 0.0306122448979592 0.0382483370288248
1 15 rs15 1 2 244 0.122000001370907 1000 -0.283834368384632 0.246288528435666 -4.67925392817698 0.249137615933448 0.249137615933448 1 16.4858609435063 17.5088672906794 0.0969387755102041 0.124722838137472
1 17 rs17 1 2 12 0.00600000005215406 1000 -0.0411018297294694 0.833195152721224 -0.0592062679625828 0.960656012848254 0.960656012848254 1 1.44047767100093 1.52986443736059 0.0102040816326531 0.00554323725055432
1 20 rs20 1 2 762 0.381000012159348 1000 -0.00182075184450154 0.164904617018031 -0.0669553258732478 0.991190542172984 0.991190542172984 1 36.773449427194 39.0553728463216 0.36734693877551 0.382483370288248
1 22 rs22 1 2 459 0.229499995708466 1000 0.14491329092232 0.193707363226392 3.86203282091646 0.454397312227963 0.454397312227963 1 26.6506460265724 28.3044134661301 0.255102040816327 0.226718403547672
