CHR POS SNPID Allele1 Allele2 AC_Allele2 AF_Allele2 imputationInfo N BETA SE Tstat p.value p.value.NA Is.SPA.converge varT varTstar AF.Cases AF.Controls
chrX 4 rs4 A C 34 0.0170511534603811 NA 997 -0.145349918985219 0.43288347716818 -0.775662463400794 0.737043210324084 0.737043210324084 1 5.33651803053067 5.67330360855163 0.0153061224489796 0.0172413793103448
chrX 9 rs9 A C 4 0.00200400801603206 NA 998 -1.38334715697604 1.55228697819885 -0.574099479708452 0.372839506659675 0.372839506659675 1 0.415007524910392 0.441198488448858 0 0.00222222222222222
chrX 10 rs10 A C 8 0.004004004004004 NA 999 0.334635246333655 0.736579902125196 0.616782371775406 0.649606080072455 0.649606080072455 1 1.84314825928537 1.95946862929638 0.0103092783505155 0.00332594235033259
chrX 11 rs11 A C 4 0.002 NA 1000 -0.558701504981439 1.74400225966585 -0.183690101707679 0.748698512232448 0.748698512232448 1 0.328780395380861 0.349529598300596 0 0.00221729490022173
chrX 12 rs12 A C 30 0.015 NA 1000 -0.0862006368877215 0.658409968092842 -0.198846375832234 0.895836666110012 0.895836666110012 1 2.30678546019604 2.45236579369024 0.0153061224489796 0.0149667405764967
chrX 14 rs14 A C 75 0.0375 NA 1000 -0.0669530002679642 0.435178489173894 -0.353537269200598 0.877726577950734 0.877726577950734 1 5.2803797856055 5.61362250081629 0.0306122448979592 0.0382483370288248
chrX 15 rs15 A C 244 0.122 NA 1000 -0.282011432158098 0.247213403956924 -4.61447911695359 0.253969356725528 0.253969356725528 1 16.3627377856323 17.3953838053051 0.0969387755102041 0.124722838137472
chrX 17 rs17 A C 15 0.0075 NA 1000 -0.191349221470739 0.667156433796143 -0.429903857949668 0.774255412876082 0.774255412876082 1 2.2466977113644 2.38848593039249 0.0102040816326531 0.00720620842572062
chrX 20 rs20 A C 1111 0.5555 NA 1000 0.00437885639511073 0.100617950164553 0.432523562924596 0.96528731344484 0.96528731344484 1 98.7754618780227 105.009142872364 0.540816326530612 0.55709534368071
chrX 22 rs22 A C 656 0.328 NA 1000 0.0158322619367101 0.124781472788137 1.01681689084958 0.899035448251057 0.899035448251057 1 64.2243600386561 68.2775344296915 0.341836734693878 0.32649667405765
